Pq,Pr,Ps,Pt,E(QS) - desc,E(QS),E(QT) - desc,E(QT),E(RS) - desc,E(RS),E(RT) - desc,E(RT),E(QS) + E(RS) + E(RT) - E(QT)
3,6,6,6,'24.0/24,1.0,'27.0/27,1.0,'-19.0/19,-1.0,'-30.0/30,-1.0,-2.0
4,1,1,1,'31.0/31,1.0,'22.0/22,1.0,'-21.0/21,-1.0,'-26.0/26,-1.0,-2.0
4,1,1,2,'26.0/26,1.0,'11.0/29,0.3793103448275862,'-19.0/19,-1.0,'-8.0/26,-0.3076923076923077,-0.6870026525198939
4,1,1,3,'27.0/27,1.0,'-4.0/24,-0.16666666666666666,'-25.0/25,-1.0,'4.0/24,0.16666666666666666,0.3333333333333333
4,1,1,4,'20.0/20,1.0,'-21.0/21,-1.0,'-28.0/28,-1.0,'31.0/31,1.0,2.0
4,1,1,5,'30.0/30,1.0,'-6.0/22,-0.2727272727272727,'-31.0/31,-1.0,'3.0/17,0.17647058823529413,0.44919786096256686
4,1,1,6,'24.0/24,1.0,'5.0/23,0.21739130434782608,'-30.0/30,-1.0,'-15.0/23,-0.6521739130434783,-0.8695652173913043
4,1,2,1,'12.0/30,0.4,'22.0/22,1.0,'-11.0/23,-0.4782608695652174,'-25.0/25,-1.0,-2.0782608695652174
4,1,2,2,'9.0/25,0.36,'17.0/27,0.6296296296296297,'-18.0/26,-0.6923076923076923,'-8.0/22,-0.36363636363636365,-1.3255736855736857
4,1,2,3,'10.0/24,0.4166666666666667,'-11.0/31,-0.3548387096774194,'-16.0/22,-0.7272727272727273,'7.0/23,0.30434782608695654,0.3485804751583153
4,1,2,4,'15.0/23,0.6521739130434783,'-22.0/22,-1.0,'-13.0/25,-0.52,'30.0/30,1.0,2.132173913043478
4,1,2,5,'14.0/22,0.6363636363636364,'-6.0/22,-0.2727272727272727,'-1.0/29,-0.034482758620689655,'7.0/27,0.25925925925925924,1.1338674097294787
4,1,2,6,'5.0/31,0.16129032258064516,'-1.0/19,-0.05263157894736842,'-3.0/21,-0.14285714285714285,'-19.0/29,-0.6551724137931034,-0.5841076551222326
